recording_id,true_label,n_windows,pct_predicted_FALL,pct_predicted_TWISTING,pct_correct,avg_FALL_proba,max_FALL_proba,avg_TWISTING_proba,max_TWISTING_proba,v5_saw_in_training,v5_saw_in_its_own_test,v5_never_saw_this_recording,dist_to_NORMAL_centroid,dist_to_FALL_centroid,dist_to_TWISTING_centroid,closer_to_FALL_than_NORMAL,closer_to_TWISTING_than_NORMAL,statistical_outlier_features,raw_quality_problems,saturation_pct_of_samples,saturation_max_consecutive_run,suspicion_score,classification
normal_054,NORMAL,19,21.05263157894737,0.0,78.94736842105263,0.2510744333267212,0.973652720451355,0.0008137405384331942,0.0024256121832877398,False,False,True,1.6379755821108986,2.386184105381328,5.987234110217606,False,False,,,0.23333333333333334,5,61.547252640667324,DIFFICULT_BUT_VALID_DATA
normal_046,NORMAL,18,11.11111111111111,5.555555555555555,77.77777777777777,0.1126551479101181,0.6647769808769226,0.09248760342597961,0.6003687381744385,False,False,True,1.4002450287380406,1.8196310153135666,3.6784654080516073,False,False,jerk_mean(z=-2.66),,0.3670337003670337,11,56.342898443010114,DIFFICULT_BUT_VALID_DATA
normal_049,NORMAL,19,5.2631578947368425,10.526315789473685,42.10526315789474,0.07945792376995087,0.4975188672542572,0.08304346352815628,0.8673664331436157,False,False,True,2.0970649297900716,1.9188677820304496,2.8603480383944517,True,False,,,1.6166666666666667,21,55.127030721463655,NO_PROBLEM_FOUND
normal_047,NORMAL,19,10.526315789473685,0.0,89.47368421052632,0.12292557954788208,0.9382261633872986,0.005348659120500088,0.017353946343064308,False,False,True,1.020869550561995,1.6089961049515926,3.8400252542182938,False,False,,,0.4166666666666667,22,55.002441251826916,DIFFICULT_BUT_VALID_DATA
normal_027,NORMAL,8,12.5,0.0,87.5,0.15867991745471954,0.984217643737793,0.0017490281024947762,0.009107849560678005,False,True,False,0.48220620756923305,1.5662883376055556,4.681959351635616,False,False,,,0.06680026720106881,2,52.65086274072528,DIFFICULT_BUT_VALID_DATA
normal_053,NORMAL,19,5.2631578947368425,10.526315789473685,63.1578947368421,0.11207067221403122,0.6387004256248474,0.061061665415763855,0.5786463618278503,False,False,True,2.0264718393353216,1.9546270253631022,3.2537096289880294,True,False,jerk_mean(z=3.15),,0.34965034965034963,9,51.39989162997196,DIFFICULT_BUT_VALID_DATA
normal_042,NORMAL,19,0.0,10.526315789473685,52.63157894736842,0.053757697343826294,0.3317166864871979,0.11491430550813675,0.9639800190925598,False,False,True,1.8346635931972395,1.9468988596981969,3.268497369880105,False,False,,,0.38333333333333336,19,44.56405731502333,NO_PROBLEM_FOUND
normal_016,NORMAL,38,7.894736842105263,0.0,92.10526315789474,0.08679285645484924,0.8869689106941223,0.00019409929518587887,0.0005648867809213698,False,True,False,1.839324083789455,2.9476143136479256,6.231064362573796,False,False,,,0.0,0,43.38479100548858,DIFFICULT_BUT_VALID_DATA
normal_041,NORMAL,19,10.526315789473685,0.0,78.94736842105263,0.1264110952615738,0.6655011773109436,0.008031639270484447,0.05134740471839905,False,False,True,0.614897490028023,1.605922091351159,4.24984107740191,False,False,,,0.08333333333333333,5,39.67331097627941,DIFFICULT_BUT_VALID_DATA
normal_048,NORMAL,19,5.2631578947368425,0.0,63.1578947368421,0.1187896579504013,0.4597233235836029,0.028307760134339333,0.11843086779117584,False,False,True,1.7250036841448229,1.9235707081266082,3.17985983937463,False,False,,,0.5166666666666667,16,30.820708193904476,NO_PROBLEM_FOUND
normal_052,NORMAL,19,5.2631578947368425,0.0,84.21052631578948,0.11590080708265305,0.47929665446281433,0.017340516671538353,0.07480501383543015,False,False,True,1.7520827497925677,1.732135907928787,3.840565717427008,True,False,,,0.2833333333333333,6,27.73112434995802,NO_PROBLEM_FOUND
normal_014,NORMAL,39,0.0,0.0,100.0,0.04836569353938103,0.45308148860931396,0.0002582225715741515,0.0035678783897310495,False,True,False,1.9081222590176516,2.9300251621073947,6.32420962365239,False,False,,,0.025,2,18.79461711216718,NO_PROBLEM_FOUND
normal_055,NORMAL,19,0.0,0.0,100.0,0.06978601217269897,0.39329054951667786,0.00046816261601634324,0.0012853211956098676,False,False,True,3.4089060435195235,4.392434943062511,7.7986819502145295,False,False,,,0.0,0,15.757328404579312,NO_PROBLEM_FOUND
normal_038,NORMAL,9,0.0,0.0,100.0,0.020925117656588554,0.06551265716552734,0.011031006462872028,0.08926660567522049,False,False,True,1.6266369981730113,2.3409563989372226,3.277670952348268,False,False,,,1.9,17,9.505838400125503,NO_PROBLEM_FOUND
normal_037,NORMAL,9,0.0,0.0,100.0,0.03999300301074982,0.21452990174293518,6.227158155525103e-05,0.000147958766319789,False,False,True,2.2905924922386873,3.430221890064267,6.615145965345454,False,False,,,0.0,0,8.584155245043803,NO_PROBLEM_FOUND
normal_024,NORMAL,9,0.0,0.0,100.0,0.006249815225601196,0.014529814943671227,0.0005815343465656042,0.0025614614132791758,True,False,False,2.040204618030906,1.3285281959367083,3.185652667031629,True,False,,,1.6,26,8.432421826012433,NO_PROBLEM_FOUND
normal_029,NORMAL,9,0.0,0.0,100.0,0.0045888908207416534,0.010151764377951622,0.002625394146889448,0.012187658809125423,True,False,False,2.0600866794652766,2.295576431135338,2.6024253420385075,False,False,,,2.533333333333333,24,7.849823751300573,NO_PROBLEM_FOUND
normal_032,NORMAL,19,0.0,0.0,100.0,0.0013190959580242634,0.004908083006739616,0.0012800463009625673,0.01009023655205965,True,False,False,2.526571823885442,2.1913228071279964,2.0742818554800357,True,True,,,1.7833333333333334,24,7.598128051310777,NO_PROBLEM_FOUND
